date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:18	77645/77645	---MCZ	200	added ('OK')	text/html	etag:W/%225dcbfba8-12f4d%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html	(from )
19:17:19	13/13	---M--	200	added ('OK')	text/plain	etag:%2258db68d6-d%22	https://pixinvent.com/robots.txt		(from )
19:17:19	178/178	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Jul%202020%2013:47:19%20GMT	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/images/ico/apple-icon-120.png	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/images/ico/apple-icon-120.png	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:21	11513/11513	---MCZ	200	added ('OK')	text/css	etag:W/%225d8db9dc-2cf9%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/charts/apexcharts.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/charts/apexcharts.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:21	224120/224120	---MCZ	200	added ('OK')	text/css	etag:W/%225d8db9dc-36b78%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/vendors.min.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/vendors.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:22	7480/7480	---MCZ	200	added ('OK')	text/css	etag:W/%225d8db9dc-1d38%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/extensions/tether-theme-arrows.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/extensions/tether-theme-arrows.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:22	237/237	---M--	200	added ('OK')	text/css	etag:%225d8db9dc-ed%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/extensions/tether.min.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/extensions/tether.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:22	5324/5324	---MCZ	200	added ('OK')	text/css	etag:W/%225d8db9dc-14cc%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/extensions/shepherd-theme-default.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/vendors/css/extensions/shepherd-theme-default.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:23	188482/188482	---MCZ	200	added ('OK')	text/css	etag:W/%225d8db9dc-2e042%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/css/bootstrap.min.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/css/bootstrap.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
19:17:23	69998/69998	---MCZ	200	added ('OK')	text/css	etag:W/%225dcbfba8-1116e%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/css/bootstrap-extended.min.css	E:/Websites/Vuexy%20Pro/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/app-assets/css/bootstrap-extended.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/html/ltr/vertical-menu-template/index.html)
